Entity,Year,Aviation and shipping,Aviation and shipping (per capita),Buildings,Buildings (per capita),Electricity and heat,Electricity and heat (per capita),Energy,Energy (per capita),Fugitive emissions,Fugitive emissions (per capita),Industry,Industry (per capita),Land-use change and forestry,Land-use change and forestry (per capita),Manufacturing and construction,Manufacturing and construction (per capita),Other fuel combustion,Other fuel combustion (per capita),Total excluding LUCF,Total excluding LUCF (per capita),Total including LUCF,Total including LUCF (per capita),Transport,Transport (per capita)
Afghanistan,2008,0.03,0.0010821620342135,0.07,0.0025250447464983,0.24,0.0086572962737085,4.38,0.1579956569951801,0.0,0.0,0.01,0.0003607206780711,0.12,0.0043286481368542,1.21,0.0436472020466136,0.0,0.0,4.39,0.1583563776732513,4.51,0.1626850258101055,2.86,0.1031661139283596
Afghanistan,2009,0.03,0.0010565312543427,0.3,0.0105653125434278,0.12,0.0042261250173711,5.99,0.2109540737837758,0.0,0.0,0.01,0.0003521770847809,0.12,0.0042261250173711,1.67,0.0588135731584149,0.0,0.0,6.0,0.2113062508685567,6.12,0.2155323758859278,3.9,0.1373490630645618
Afghanistan,2010,0.03,0.0010279073064713,0.16,0.0054821723011805,0.14,0.0047969007635329,8.65,0.296379940032573,0.0,0.0,0.01,0.0003426357688237,0.12,0.0041116292258854,2.39,0.0818899487488843,0.0,0.0,8.67,0.2970652115702205,8.79,0.3011768407961059,5.97,0.2045535539877989
Afghanistan,2011,0.03,0.000996101557335,0.11,0.0036523723768952,0.19,0.0063086431964553,12.25,0.4067414692451486,0.0,0.0,0.01,0.000332033852445,-0.25,-0.0083008463111254,4.16,0.138126082617128,0.0,0.0,12.26,0.4070735030975936,12.02,0.3991046906389131,7.79,0.25865437105467
Afghanistan,2012,0.03,0.0009627302104547,0.08,0.0025672805612126,0.15,0.0048136510522737,10.44,0.3350301132382527,0.0,0.0,0.01,0.0003209100701515,-0.25,-0.0080227517537895,3.23,0.1036539526589613,0.0,0.0,10.45,0.3353510233084044,10.2,0.3273282715546148,6.98,0.223995228965805
Afghanistan,2013,0.03,0.0009296677813589,0.08,0.0024791140836239,0.22,0.0068175637299659,8.5,0.2634058713850488,0.0,0.0,0.02,0.0006197785209059,-0.25,-0.0077472315113249,3.34,0.1035030129913015,0.0,0.0,8.51,0.2637157606455018,8.27,0.2562784183946298,4.85,0.1502962913197043
Afghanistan,2014,0.03,0.0008989894280041,0.06,0.0017979788560083,0.17,0.005094273425357,7.77,0.2328382618530856,0.0,0.0,0.04,0.0011986525706722,-0.25,-0.0074915785667015,3.67,0.1099763733591794,0.0,0.0,7.81,0.2340369144237579,7.56,0.2265453358570563,3.87,0.1159696362125407
Afghanistan,2015,0.03,0.0008717483025534,0.02,0.0005811655350356,0.17,0.0049399070478031,7.96,0.231303882944195,,,0.03,0.0008717483025534,-0.25,-0.0072645691879458,2.89,0.0839784198126537,0.0,0.0,7.99,0.2321756312467485,7.74,0.2249110620588027,4.88,0.1418043905487025
Afghanistan,2016,0.04,0.0011304854971711,0.04,0.0011304854971711,0.2,0.0056524274858556,7.35,0.207726710105195,,,0.05,0.0014131068714639,0.15,0.0042393206143917,2.95,0.0833733054163708,0.0,0.0,7.39,0.2088571956023661,7.55,0.2133791375910507,4.16,0.1175704917057974
Afghanistan,2017,0.04,0.001102046442386,0.13,0.0035816509377547,0.21,0.0057857438225268,7.33,0.2019500105672478,,,0.05,0.0013775580529825,0.15,0.0041326741589477,3.44,0.0947759940452022,0.0,0.0,7.38,0.2033275686202304,7.53,0.2074602427791782,3.55,0.0978066217617639
Afghanistan,2018,0.04,0.0010760810269643,0.14,0.0037662835943753,0.22,0.0059184456483041,7.39,0.19880596973167,,,0.05,0.0013451012837054,0.15,0.0040353038511164,3.29,0.0885076644678206,0.0,0.0,7.44,0.2001510710153755,7.59,0.2041863748664919,3.73,0.1003445557644288
Albania,1990,0.0,0.0,0.31,0.0943376130149388,0.73,0.2221498629061462,5.67,1.7254653735313004,0.0,0.0,0.37,0.1125965058565398,0.19,0.0578198273317366,2.14,0.6512338446837712,1.79,0.5447236364410983,6.05,1.8411050281947736,6.24,1.8989248555265104,0.71,0.2160635652922792
Albania,1991,0.0,0.0,0.36,0.10974281466542,0.54,0.1646142219981301,3.81,1.1614447885423624,0.0,0.0,0.3,0.0914523455545167,0.19,0.0579198188511939,1.41,0.4298260241062285,0.96,0.2926475057744535,4.11,1.2528971340968793,4.3,1.310816952948073,0.54,0.1646142219981301
Albania,1992,0.0,0.0,0.28,0.0862630153175388,0.4,0.1232328790250554,2.14,0.6592959027840465,0.0,0.0,0.1,0.0308082197562638,0.19,0.0585356175369013,0.76,0.2341424701476052,0.29,0.0893438372931651,2.24,0.6901041225403104,2.43,0.7486397400772116,0.41,0.1263137010006818
Albania,1993,0.0,0.0,0.17,0.0532048738168175,0.54,0.1690037168298908,1.98,0.6196802950429332,0.0,0.0,0.1,0.0312969845981279,0.19,0.059464270736443,0.54,0.1690037168298908,0.23,0.0719830645756942,2.07,0.6478475811812483,2.26,0.7073118519176914,0.51,0.1596146214504525
Albania,1994,0.0,0.0,0.16,0.0508498600675413,0.61,0.1938650915075013,2.09,0.6642262971322586,0.05,0.0158905812711066,0.05,0.0158905812711066,0.19,0.0603842088302053,0.46,0.1461933476941813,0.17,0.0540279763217626,2.14,0.6801168784033653,2.33,0.7405010872335706,0.63,0.2002213240159439
Albania,1995,0.0,0.0,0.25,0.0803103706709096,0.41,0.1317090079002918,1.85,0.5942967429647312,0.0,0.0,0.1,0.0321241482683638,0.19,0.0610358817098913,0.49,0.1574083265149828,0.08,0.025699318614691,1.95,0.626420891233095,2.14,0.6874567729429865,0.63,0.2023821340906922
Albania,1996,0.0,0.0,0.34,0.1097234678166546,0.33,0.1064963069985177,1.86,0.6002519121734639,0.0,0.0,0.1,0.032271608181369,0.19,0.0613160555446011,0.46,0.1484493976342975,0.11,0.0354987689995059,1.97,0.6357506811729697,2.16,0.6970667367175708,0.62,0.2000839707244879
Albania,1997,0.0,0.0,0.33,0.1064603014375044,0.32,0.1032342316969739,1.43,0.4613279728958524,0.0,0.0,0.05,0.0161303487026521,0.19,0.0612953250700783,0.24,0.0774256737727304,0.04,0.0129042789621217,1.48,0.4774583215985046,1.67,0.5387536466685829,0.49,0.1580774172859914
Albania,1998,0.0,0.0,0.24,0.0771530771701151,0.33,0.1060854811089083,1.76,0.5657892325808443,0.0,0.0,0.04,0.0128588461950191,0.19,0.0610795194263411,0.4,0.1285884619501919,0.05,0.0160735577437739,1.8,0.5786480787758637,1.99,0.6397275982022047,0.74,0.237888654607855
Albania,1999,0.11,0.0352259262817433,0.24,0.0768565664328946,0.29,0.0928683511064143,2.92,0.9350882249335511,0.0,0.0,0.05,0.0160117846735197,0.19,0.0608447817593749,0.49,0.1569154898004931,0.51,0.163320203669901,2.97,0.9511000096070708,3.16,1.0119447913664457,1.4,0.4483299708585518
Albania,2000,0.12,0.0383478959468191,0.25,0.0798914498892065,0.38,0.1214350038315939,3.08,0.9842626626350244,0.0,0.0,0.09,0.0287609219601143,0.19,0.0607175019157969,0.47,0.1501959257917082,0.51,0.1629785577739813,3.17,1.0130235845951387,3.36,1.0737410865109358,1.47,0.4697617253485344
Albania,2001,0.13,0.0415375142865085,0.27,0.0862702219796715,0.35,0.1118317692329075,3.22,1.0288522769427495,0.0,0.0,0.0,0.0,-1.12,-0.3578616615453042,0.54,0.1725404439593431,0.52,0.166150057146034,3.22,1.0288522769427495,2.11,0.6741858088040998,1.54,0.4920597846247932
Albania,2002,0.13,0.0415842578633432,0.62,0.1983249221174832,0.39,0.1247527735900297,3.75,1.1995458999041324,0.0,0.0,0.0,0.0,-1.12,-0.3582643754380342,0.43,0.1375479298556738,0.55,0.1759333986526061,3.75,1.1995458999041324,2.63,0.841281524466098,1.77,0.5661856647547505
Albania,2003,0.15,0.0481074990931736,0.45,0.1443224972795209,0.36,0.1154579978236167,3.82,1.225137643572822,0.0,0.0,0.29,0.0930078315801357,-1.12,-0.3592026598956965,0.5,0.1603583303105788,0.6,0.1924299963726945,4.11,1.3181454751529578,2.99,0.9589428152572612,1.92,0.6157759883926226
Albania,2004,0.15,0.0483108435620808,0.39,0.1256081932614103,0.28,0.0901802413158843,4.01,1.291509884559629,0.0,0.0,0.29,0.093400964220023,-1.12,-0.3607209652635372,0.55,0.1771397597276299,0.49,0.1578154223027975,4.29,1.3816901258755132,3.18,1.024189883516115,2.3,0.7407662679519068
Albania,2005,0.18,0.0583126269514482,0.36,0.1166252539028965,0.3,0.0971877115857471,3.83,1.2407631179113712,0.0,0.0,0.25,0.0809897596547892,-1.12,-0.3628341232534559,0.45,0.1457815673786206,0.34,0.1101460731305133,4.07,1.318513287179969,2.95,0.9556791639265132,2.37,0.767782921527402
Albania,2006,0.14,0.0457065100108683,0.4,0.130590028602481,0.27,0.0881482693066747,3.79,1.2373405210085078,0.0,0.0,0.26,0.0848835185916126,-1.12,-0.3656520800869469,0.68,0.2220030486242177,0.53,0.1730317878982873,4.05,1.32222403960012,2.94,0.9598367102282356,1.92,0.6268321372919088
Albania,2007,0.06,0.0197759190611184,0.27,0.0889916357750331,0.33,0.1087675548361515,3.78,1.2458829008504633,0.0,0.0,0.44,0.145023406448202,-1.12,-0.369150489140878,0.64,0.2109431366519303,0.44,0.145023406448202,4.22,1.3909063072986654,3.1,1.0217558181577877,2.1,0.6921571671391464
Albania,2008,0.08,0.026642839087576,0.33,0.109901711236251,0.28,0.093249936806516,3.71,1.2355616626863375,0.0,0.0,0.46,0.153196324753562,-1.12,-0.3729997472260642,0.5,0.16651774429735,0.32,0.106571356350304,4.17,1.3887579874398994,3.05,1.0157582402138354,2.28,0.7593209139959163
Albania,2009,0.06,0.0201813360313537,0.36,0.1210880161881223,0.14,0.0470897840731586,3.77,1.268060613970059,0.0,0.0,0.55,0.1849955802874091,-1.12,-0.3767182725852695,0.78,0.2623573684075984,0.2,0.0672711201045124,4.32,1.4530561942574682,3.2,1.0763379216721989,2.3,0.7736178812018927
Albania,2010,0.05,0.0169604844457093,0.32,0.1085471004525396,0.1,0.0339209688914186,3.93,1.3330940774327524,0.0,0.0,0.65,0.2204862977942211,-1.12,-0.3799148515838888,1.04,0.3527780764707539,0.24,0.0814103253394047,4.58,1.553580375226974,3.46,1.1736655236430849,2.23,0.7564376062786357
Albania,2011,0.06,0.0204875980032787,0.31,0.1058525896836066,0.13,0.0443897956737705,4.14,1.4136442622262302,0.0,0.0,0.9,0.3073139700491805,-0.84,-0.2868263720459018,1.11,0.3790205630606559,0.25,0.0853649916803279,5.04,1.720958232275411,4.2,1.434131860229509,2.35,0.8024309217950824
Albania,2012,0.06,0.0205896109627324,0.25,0.0857900456780519,0.1,0.0343160182712207,3.48,1.1941974358384828,0.0,0.0,1.1,0.3774762009834285,-0.84,-0.2882545534782544,0.64,0.2196225169358129,0.25,0.0857900456780519,4.58,1.5716736368219113,3.74,1.283419083343657,2.25,0.7721104111024674
Albania,2013,0.13,0.0447691084886362,0.32,0.110200882433566,0.05,0.0172188878802447,3.65,1.2569788152578631,0.0,0.0,1.15,0.3960344212456281,-0.84,-0.289277316388111,0.58,0.1997390994108385,0.24,0.0826506618251745,4.79,1.6495694589274423,3.95,1.3602921425393315,2.46,0.8471692837080392
Albania,2014,0.09,0.0310740539590588,0.35,0.1208435431741179,0.12,0.0414320719454118,4.12,1.422501136792474,0.0,0.0,1.1,0.3797939928329421,-0.84,-0.290024503617883,0.92,0.3176458849148243,0.27,0.0932221618771767,5.22,1.802295129625416,4.37,1.5088179533454154,2.47,0.852810147543061
Albania,2015,0.07,0.0242170623734658,0.37,0.1280044725454623,0.08,0.0276766427125324,3.82,1.321559689523422,,,1.25,0.4324475423833187,-0.84,-0.2906047484815902,0.68,0.2352514630565254,0.25,0.0864895084766637,5.07,1.7540072319067408,4.23,1.463402483425151,2.44,0.8441376027322381
Albania,2016,0.13,0.0450383813621477,0.39,0.1351151440864432,0.12,0.0415738904881363,3.67,1.2714681507621708,,,1.26,0.4365258501254319,-0.24,-0.0831477809762727,0.61,0.2113339433146932,0.26,0.0900767627242954,4.93,1.7079940008876024,4.7,1.6283107107853412,2.29,0.7933684101486024
Albania,2017,0.14,0.0485408448672737,0.45,0.156024144216237,0.23,0.0797456737105211,4.34,1.5047661908854857,,,1.26,0.4368676038054635,-0.24,-0.0832128769153263,1.07,0.3709907429141635,0.3,0.1040160961441579,5.6,1.941633794690949,5.37,1.861888120980428,2.3,0.7974567371052111
Albania,2018,0.12,0.0416271353419582,0.46,0.1595706854775066,0.14,0.0485649912322846,4.3,1.4916390164201705,,,1.26,0.4370849210905616,-0.24,-0.0832542706839164,1.22,0.4232092093099088,0.29,0.1005989104097324,5.56,1.928723937510732,5.32,1.845469666826816,2.2,0.7631641479359013
Algeria,1990,2.47,0.0958892920466393,6.59,0.2558341840434627,23.1,0.8967783993025782,64.91,2.519908480464517,13.73,0.5330202347369869,2.99,0.1160765114248791,0.57,0.022128298164609,5.68,0.220506550131543,0.0,0.0,67.89,2.6355967761321226,68.47,2.658113290054005,15.81,0.6137691122499463
Algeria,1991,2.16,0.0818167314306701,7.54,0.2856009976792835,24.08,0.9121050429863592,63.97,2.4230631063055394,9.25,0.3503725767285641,2.97,0.1124980057171713,0.57,0.0215905263497601,6.23,0.2359806651912382,0.0,0.0,66.94,2.535561112022711,67.51,2.557151638372471,16.88,0.6393826048841256
Algeria,1992,2.15,0.0795461650793815,7.78,0.2878461229384131,24.06,0.8901770845627531,63.16,2.336807342518017,8.21,0.3037553559542895,3.0,0.1109946489479742,0.57,0.0210889833001151,6.31,0.2334587449539057,0.0,0.0,66.16,2.447801991465991,66.73,2.468890974766107,16.8,0.6215700341086556
Algeria,1993,2.03,0.0734561976893719,8.23,0.2978051758539563,25.28,0.9147648658065634,70.49,2.550703140455089,13.79,0.4989955498209061,2.99,0.1081941039858237,0.57,0.0206256318635182,6.23,0.2254345377363485,0.0,0.0,73.47,2.6585353912503247,74.05,2.6795228763044308,16.96,0.6137030112373146
Algeria,1994,2.09,0.0740772850086679,8.17,0.2895748413975201,24.96,0.8846741788594983,68.73,2.436043922797008,14.11,0.5001102830011026,2.82,0.0999511692461452,0.57,0.0202028959114548,5.97,0.2115987519147117,0.0,0.0,71.55,2.5359950920431533,72.12,2.5561979879546084,15.52,0.5500858676241752
Algeria,1995,2.15,0.0747623565484243,8.09,0.2813150997566294,25.87,0.8995824018175529,69.89,2.4302981856601766,14.55,0.5059499012928255,3.17,0.1102310094225605,0.57,0.0198207177826055,6.26,0.2176801637177379,0.0,0.0,73.05,2.5401814631918143,73.63,2.5603499128653424,15.11,0.525422887184508
Algeria,1996,2.01,0.0686794060700635,8.31,0.2839432161404122,25.74,0.8795064240017098,68.41,2.3374916264940544,13.51,0.461621281595303,3.01,0.1028482648113887,0.57,0.0194762494825553,5.88,0.2009128893989919,0.0,0.0,71.41,2.43999820271803,71.99,2.4598161407879986,14.96,0.5111661267702245
Algeria,1997,1.89,0.063544406108601,7.98,0.268298603569649,27.71,0.9316484091372148,69.56,2.338703115827668,13.57,0.4562421115839771,3.27,0.1099419089815479,0.57,0.0191641859692606,5.29,0.1778570943462961,0.0,0.0,72.83,2.4486450248092155,73.41,2.468145424567411,15.01,0.5046568971905303
Algeria,1998,1.77,0.0586233450083215,8.63,0.2858302075829462,27.77,0.9197572264864908,71.09,2.354538755164733,13.57,0.4494456450637984,3.45,0.1142658419653725,0.57,0.0188787043247137,5.66,0.1874622218910168,0.0,0.0,74.54,2.468804597130106,75.11,2.48768330145482,15.46,0.5120434541404807
Algeria,1999,1.78,0.0581254743512201,9.09,0.2968317763216802,29.31,0.9571110411428436,74.11,2.420044328184788,13.18,0.4303897482860006,3.44,0.1123323773978635,0.57,0.018613213696739,6.05,0.1975613032724054,0.0,0.0,77.54,2.532050157973937,78.12,2.550989919279391,16.47,0.5378239115531434
Algeria,2000,1.96,0.0631397774864041,9.33,0.3005582265041586,29.17,0.9396874026930662,74.8,2.4096200795831795,13.29,0.4281263483644446,3.79,0.122091712588506,0.57,0.0183620781465563,6.16,0.1984393006715559,0.0,0.0,78.59,2.5317117921716856,79.17,2.5503960120401112,16.85,0.5428088013499542
Algeria,2001,1.98,0.0629540461217239,9.53,0.3030060906767823,30.2,0.960208178220234,71.0,2.257443068001212,7.99,0.2540418325821082,3.77,0.1198670474135854,-2.41,-0.0766258844208862,6.25,0.1987185799296841,0.0,0.0,74.77,2.3773101154147973,72.36,2.300684230993911,17.04,0.5417863363202908
Algeria,2002,2.17,0.0681209388383841,9.89,0.3104682419869214,32.29,1.013652126770242,76.36,2.3971036358059976,8.21,0.2577294506281724,4.06,0.1274520791169768,-2.41,-0.075655051889634,6.62,0.207815951663642,0.0,0.0,80.41,2.524241793545839,78.01,2.4489006630333408,19.36,0.6077517861341556
Algeria,2003,1.89,0.0585789327408162,10.68,0.3310174612020725,32.53,1.0082395143167997,79.81,2.4736426571664243,7.82,0.2423742084831654,4.03,0.1249064015584599,-2.41,-0.0746958877806175,7.02,0.2175788930373173,0.0,0.0,83.84,2.5985490587248843,81.43,2.523853170944267,21.76,0.6744325801270692
Algeria,2004,2.19,0.0669885522681849,11.52,0.3523781379586715,31.75,0.9711810659885264,80.0,2.447070402490775,6.62,0.2024950758061116,4.9,0.1498830621525599,-2.41,-0.0737179958750346,8.09,0.2474599944518796,0.0,0.0,84.89,2.5966475808430234,82.49,2.5232354687683003,22.03,0.6738620120858972
Algeria,2005,2.35,0.0708904931927026,12.5,0.3770770914505462,32.6,0.9834170545030244,83.33,2.513746722445921,5.85,0.1764720787988556,5.66,0.1707405070088073,-2.41,-0.0727004632316653,8.21,0.2476642336647188,0.0,0.0,88.99,2.6844872294547284,86.58,2.6117867662230627,24.16,0.7288146023556157
Algeria,2006,2.23,0.0662881464874104,12.19,0.362355383713692,34.24,1.017805442030912,87.21,2.592371863303616,6.46,0.1920275454298975,6.54,0.1944055955281005,-2.41,-0.0716387592083673,8.7,0.2586129481795833,0.0,0.0,93.75,2.786777458831717,91.35,2.7154359558856247,25.63,0.761867800211807
Algeria,2007,2.23,0.0652677017714415,13.6,0.3980451767226927,33.96,0.9939422206987238,93.52,2.737145950522516,8.64,0.2528757593297107,7.0,0.2048761939013859,-2.41,-0.0705359467574771,9.72,0.2844852292459245,0.0,0.0,100.52,2.9420221444239023,98.12,2.8717788779434272,27.6,0.8077975645254646
Algeria,2008,2.28,0.0656481528510128,13.58,0.3910096121564715,35.28,1.0158187862209365,96.41,2.7759379019149795,9.14,0.2631684723939728,7.58,0.2182513151801218,-2.41,-0.0693912492855004,9.23,0.265759846848618,0.0,0.0,103.99,2.994189217095101,101.59,2.9250858983045616,29.19,0.8404691147899415
Algeria,2009,2.36,0.0667914156729226,13.48,0.3815035098605921,36.67,1.0378140731890144,104.55,2.958916317205112,10.39,0.2940520376447739,8.22,0.2326378969624679,-2.41,-0.0682064880388744,9.57,0.2708448508431652,3.93,0.1112246879638076,112.77,3.19155421416758,110.37,3.123630740601896,30.52,0.863760172176949
Algeria,2010,2.45,0.0680982096258014,13.24,0.3680082838553515,36.44,1.0128566362302875,104.89,2.915437227612373,9.25,0.2571054853219034,8.25,0.2293102977195354,-2.41,-0.0669864021217067,10.69,0.2971305554693132,3.57,0.0992288197404535,113.14,3.144747525331909,110.74,3.078039075086225,31.71,0.8813853988710874
Algeria,2011,2.26,0.0616451542353575,14.61,0.3985113731763604,39.3,1.0719710448891828,109.95,2.999064030167065,7.06,0.1925729154431967,8.19,0.2233954925608755,-0.63,-0.0171842686585288,10.8,0.2945874627176381,3.96,0.1080154029964673,118.14,3.222459522727941,117.51,3.205275254069412,34.22,0.93340583094422
Algeria,2012,2.24,0.0599188436711751,16.8,0.4493913275338134,43.46,1.1625325651559246,118.94,3.181583601004272,6.46,0.1728016652302639,7.7,0.2059710251196645,-0.63,-0.016852174782518,10.05,0.2688323120068348,3.53,0.0944256777496643,126.64,3.3875546261239364,126.01,3.3707024513414185,38.64,1.033600053327771
Algeria,2013,2.45,0.0642367941277606,18.48,0.4845289614208235,42.96,1.1263725207055506,122.62,3.2149859983453126,6.78,0.1777654955862112,7.3,0.1913994274010828,-0.63,-0.0165180327757098,10.01,0.2624531874362794,4.12,0.1080226905332139,129.91,3.4061232347499555,129.29,3.389867392970685,40.26,1.055580951666794
Algeria,2014,2.29,0.0588330684389413,19.21,0.493529801184307,47.86,1.2295854390776126,130.45,3.3514295973187327,7.28,0.1870326367840581,8.36,0.2147792367465282,-0.63,-0.0161855166447742,10.23,0.2628219607556201,2.37,0.060888372139865,138.81,3.5662088340652613,138.18,3.550023317420487,43.51,1.1178283003398857
Algeria,2015,2.39,0.0601590514704734,21.02,0.5290975991252521,49.76,1.2525164858455065,136.82,3.4439169130502854,6.34,0.1595850988798334,9.16,0.2305677453847435,-0.63,-0.0158578252830118,10.8,0.2718484334230601,2.49,0.062676166594761,145.97,3.6742329469226,145.35,3.6586268331520166,46.41,1.168193129181872
Algeria,2016,2.09,0.0515395301538062,21.29,0.5250127258251368,47.86,1.1802305804598894,134.2,3.3093803572444034,6.32,0.1558515935751463,9.16,0.2258861704348639,0.2,0.0049320124549096,10.88,0.2683014775470873,2.65,0.0653491650275534,143.35,3.535019927056522,143.55,3.539951939511432,45.19,1.114388214186845
Algeria,2017,2.07,0.0500130782991706,22.4,0.5412043255562433,48.09,1.1618980364285598,135.95,3.28467535979336,5.42,0.1309521180586981,9.16,0.221313911700678,0.2,0.0048321814781807,12.02,0.2904141068386626,3.33,0.0804558216117093,145.1,3.5057476624201294,145.3,3.5105798438983102,44.69,1.079750951299487
